user_id,channel,credit
user_1,partner_b,1.0
user_10,partner_a,1.0
user_101,partner_a,1.0
user_102,partner_a,1.0
user_103,partner_b,1.0
user_107,partner_b,1.0
user_109,partner_a,1.0
user_110,partner_b,1.0
user_111,partner_b,1.0
user_112,partner_c,1.0
user_114,partner_b,1.0
user_115,partner_a,1.0
user_117,partner_b,1.0
user_123,partner_b,1.0
user_126,partner_c,1.0
user_127,partner_c,1.0
user_13,partner_b,1.0
user_130,partner_b,1.0
user_132,partner_c,1.0
user_133,partner_c,1.0
user_134,partner_b,1.0
user_136,partner_a,1.0
user_137,partner_c,1.0
user_138,partner_b,1.0
user_139,partner_b,1.0
user_14,partner_c,1.0
user_141,partner_c,1.0
user_142,partner_a,1.0
user_144,partner_a,1.0
user_147,partner_a,1.0
user_148,partner_b,1.0
user_149,partner_c,1.0
user_15,partner_b,1.0
user_151,partner_c,1.0
user_153,partner_a,1.0
user_154,partner_c,1.0
user_155,partner_c,1.0
user_156,partner_a,1.0
user_157,partner_a,1.0
user_159,partner_c,1.0
user_160,partner_c,1.0
user_162,partner_b,1.0
user_163,partner_a,1.0
user_164,partner_a,1.0
user_165,partner_b,1.0
user_166,partner_a,1.0
user_17,partner_b,1.0
user_170,partner_a,1.0
user_171,partner_c,1.0
user_174,partner_c,1.0
user_175,partner_c,1.0
user_177,partner_b,1.0
user_178,partner_b,1.0
user_180,partner_b,1.0
user_181,partner_a,1.0
user_182,partner_b,1.0
user_184,partner_a,1.0
user_186,partner_b,1.0
user_188,partner_c,1.0
user_189,partner_a,1.0
user_191,partner_b,1.0
user_192,partner_c,1.0
user_194,partner_b,1.0
user_196,partner_c,1.0
user_198,partner_c,1.0
user_199,partner_a,1.0
user_2,partner_c,1.0
user_200,partner_c,1.0
user_205,partner_c,1.0
user_209,partner_b,1.0
user_210,partner_a,1.0
user_212,partner_a,1.0
user_214,partner_b,1.0
user_215,partner_a,1.0
user_216,partner_b,1.0
user_219,partner_c,1.0
user_22,partner_c,1.0
user_220,partner_c,1.0
user_224,partner_c,1.0
user_225,partner_a,1.0
user_229,partner_c,1.0
user_23,partner_b,1.0
user_230,partner_a,1.0
user_231,partner_a,1.0
user_232,partner_c,1.0
user_233,partner_c,1.0
user_235,partner_b,1.0
user_238,partner_b,1.0
user_24,partner_c,1.0
user_243,partner_c,1.0
user_246,partner_b,1.0
user_247,partner_c,1.0
user_248,partner_b,1.0
user_252,partner_a,1.0
user_256,partner_c,1.0
user_257,partner_c,1.0
user_259,partner_a,1.0
user_26,partner_b,1.0
user_264,partner_b,1.0
user_265,partner_b,1.0
user_267,partner_c,1.0
user_268,partner_a,1.0
user_269,partner_c,1.0
user_270,partner_c,1.0
user_276,partner_b,1.0
user_283,partner_b,1.0
user_284,partner_b,1.0
user_285,partner_c,1.0
user_286,partner_b,1.0
user_288,partner_c,1.0
user_289,partner_a,1.0
user_291,partner_c,1.0
user_295,partner_b,1.0
user_296,partner_c,1.0
user_298,partner_a,1.0
user_299,partner_b,1.0
user_301,partner_c,1.0
user_302,partner_a,1.0
user_304,partner_a,1.0
user_306,partner_c,1.0
user_308,partner_a,1.0
user_311,partner_b,1.0
user_312,partner_c,1.0
user_315,partner_a,1.0
user_317,partner_b,1.0
user_318,partner_c,1.0
user_319,partner_b,1.0
user_321,partner_b,1.0
user_324,partner_b,1.0
user_325,partner_c,1.0
user_328,partner_a,1.0
user_329,partner_b,1.0
user_33,partner_a,1.0
user_331,partner_b,1.0
user_332,partner_b,1.0
user_335,partner_b,1.0
user_337,partner_c,1.0
user_338,partner_a,1.0
user_34,partner_b,1.0
user_340,partner_b,1.0
user_341,partner_c,1.0
user_342,partner_c,1.0
user_343,partner_b,1.0
user_347,partner_a,1.0
user_348,partner_a,1.0
user_349,partner_c,1.0
user_353,partner_c,1.0
user_356,partner_b,1.0
user_358,partner_a,1.0
user_359,partner_b,1.0
user_36,partner_a,1.0
user_363,partner_c,1.0
user_364,partner_c,1.0
user_368,partner_b,1.0
user_37,partner_c,1.0
user_372,partner_c,1.0
user_375,partner_c,1.0
user_376,partner_c,1.0
user_379,partner_c,1.0
user_38,partner_b,1.0
user_380,partner_a,1.0
user_384,partner_c,1.0
user_386,partner_b,1.0
user_387,partner_c,1.0
user_388,partner_b,1.0
user_389,partner_b,1.0
user_39,partner_c,1.0
user_390,partner_c,1.0
user_394,partner_a,1.0
user_395,partner_a,1.0
user_397,partner_b,1.0
user_398,partner_c,1.0
user_4,partner_c,1.0
user_402,partner_c,1.0
user_404,partner_b,1.0
user_405,partner_c,1.0
user_406,partner_c,1.0
user_407,partner_a,1.0
user_409,partner_a,1.0
user_41,partner_c,1.0
user_411,partner_b,1.0
user_414,partner_c,1.0
user_415,partner_a,1.0
user_421,partner_c,1.0
user_425,partner_b,1.0
user_426,partner_c,1.0
user_429,partner_c,1.0
user_431,partner_b,1.0
user_433,partner_b,1.0
user_437,partner_c,1.0
user_440,partner_a,1.0
user_442,partner_a,1.0
user_444,partner_b,1.0
user_448,partner_b,1.0
user_45,partner_b,1.0
user_450,partner_b,1.0
user_451,partner_c,1.0
user_452,partner_b,1.0
user_454,partner_c,1.0
user_456,partner_b,1.0
user_457,partner_a,1.0
user_458,partner_b,1.0
user_461,partner_a,1.0
user_463,partner_a,1.0
user_464,partner_c,1.0
user_469,partner_b,1.0
user_47,partner_a,1.0
user_471,partner_b,1.0
user_472,partner_a,1.0
user_473,partner_b,1.0
user_474,partner_b,1.0
user_475,partner_c,1.0
user_476,partner_c,1.0
user_478,partner_c,1.0
user_48,partner_a,1.0
user_481,partner_c,1.0
user_482,partner_c,1.0
user_485,partner_b,1.0
user_486,partner_c,1.0
user_487,partner_c,1.0
user_488,partner_b,1.0
user_49,partner_b,1.0
user_491,partner_a,1.0
user_496,partner_b,1.0
user_498,partner_b,1.0
user_50,partner_c,1.0
user_500,partner_b,1.0
user_501,partner_c,1.0
user_502,partner_a,1.0
user_503,partner_c,1.0
user_504,partner_a,1.0
user_506,partner_c,1.0
user_510,partner_c,1.0
user_513,partner_c,1.0
user_514,partner_b,1.0
user_516,partner_a,1.0
user_517,partner_a,1.0
user_518,partner_a,1.0
user_519,partner_a,1.0
user_527,partner_c,1.0
user_528,partner_a,1.0
user_529,partner_c,1.0
user_53,partner_c,1.0
user_531,partner_c,1.0
user_532,partner_b,1.0
user_534,partner_b,1.0
user_535,partner_c,1.0
user_539,partner_b,1.0
user_540,partner_a,1.0
user_541,partner_c,1.0
user_544,partner_c,1.0
user_547,partner_c,1.0
user_548,partner_a,1.0
user_549,partner_c,1.0
user_553,partner_a,1.0
user_556,partner_a,1.0
user_557,partner_b,1.0
user_559,partner_c,1.0
user_561,partner_b,1.0
user_562,partner_b,1.0
user_565,partner_b,1.0
user_568,partner_a,1.0
user_570,partner_c,1.0
user_572,partner_c,1.0
user_574,partner_b,1.0
user_576,partner_b,1.0
user_580,partner_b,1.0
user_581,partner_a,1.0
user_583,partner_b,1.0
user_584,partner_a,1.0
user_586,partner_b,1.0
user_587,partner_b,1.0
user_588,partner_c,1.0
user_589,partner_b,1.0
user_59,partner_b,1.0
user_590,partner_a,1.0
user_595,partner_a,1.0
user_598,partner_a,1.0
user_6,partner_b,1.0
user_601,partner_c,1.0
user_604,partner_c,1.0
user_606,partner_c,1.0
user_608,partner_a,1.0
user_609,partner_a,1.0
user_611,partner_a,1.0
user_612,partner_a,1.0
user_615,partner_a,1.0
user_62,partner_b,1.0
user_620,partner_b,1.0
user_623,partner_c,1.0
user_627,partner_a,1.0
user_629,partner_c,1.0
user_63,partner_a,1.0
user_631,partner_a,1.0
user_632,partner_a,1.0
user_634,partner_b,1.0
user_635,partner_b,1.0
user_636,partner_a,1.0
user_638,partner_a,1.0
user_639,partner_a,1.0
user_641,partner_b,1.0
user_644,partner_c,1.0
user_646,partner_a,1.0
user_651,partner_c,1.0
user_652,partner_b,1.0
user_653,partner_a,1.0
user_66,partner_b,1.0
user_663,partner_b,1.0
user_664,partner_a,1.0
user_665,partner_c,1.0
user_666,partner_c,1.0
user_667,partner_c,1.0
user_668,partner_c,1.0
user_67,partner_b,1.0
user_670,partner_a,1.0
user_673,partner_a,1.0
user_675,partner_b,1.0
user_678,partner_c,1.0
user_68,partner_b,1.0
user_680,partner_c,1.0
user_681,partner_a,1.0
user_682,partner_b,1.0
user_683,partner_a,1.0
user_684,partner_b,1.0
user_686,partner_c,1.0
user_687,partner_c,1.0
user_688,partner_a,1.0
user_69,partner_b,1.0
user_693,partner_a,1.0
user_694,partner_a,1.0
user_696,partner_a,1.0
user_699,partner_a,1.0
user_7,partner_a,1.0
user_702,partner_b,1.0
user_704,partner_b,1.0
user_705,partner_c,1.0
user_707,partner_c,1.0
user_708,partner_b,1.0
user_709,partner_c,1.0
user_71,partner_b,1.0
user_710,partner_a,1.0
user_711,partner_c,1.0
user_712,partner_c,1.0
user_717,partner_b,1.0
user_718,partner_c,1.0
user_719,partner_a,1.0
user_722,partner_a,1.0
user_723,partner_a,1.0
user_725,partner_c,1.0
user_727,partner_b,1.0
user_728,partner_b,1.0
user_729,partner_c,1.0
user_732,partner_c,1.0
user_734,partner_b,1.0
user_735,partner_b,1.0
user_737,partner_c,1.0
user_739,partner_a,1.0
user_743,partner_b,1.0
user_745,partner_b,1.0
user_747,partner_c,1.0
user_749,partner_a,1.0
user_753,partner_c,1.0
user_756,partner_a,1.0
user_757,partner_c,1.0
user_758,partner_a,1.0
user_759,partner_c,1.0
user_762,partner_a,1.0
user_764,partner_c,1.0
user_765,partner_a,1.0
user_766,partner_b,1.0
user_767,partner_b,1.0
user_77,partner_b,1.0
user_771,partner_a,1.0
user_772,partner_a,1.0
user_773,partner_c,1.0
user_774,partner_c,1.0
user_776,partner_c,1.0
user_778,partner_a,1.0
user_782,partner_a,1.0
user_785,partner_b,1.0
user_789,partner_c,1.0
user_79,partner_b,1.0
user_792,partner_b,1.0
user_794,partner_a,1.0
user_797,partner_c,1.0
user_798,partner_c,1.0
user_80,partner_c,1.0
user_800,partner_a,1.0
user_802,partner_a,1.0
user_805,partner_c,1.0
user_807,partner_c,1.0
user_808,partner_a,1.0
user_810,partner_b,1.0
user_811,partner_a,1.0
user_812,partner_a,1.0
user_813,partner_c,1.0
user_814,partner_b,1.0
user_818,partner_c,1.0
user_819,partner_c,1.0
user_82,partner_b,1.0
user_820,partner_c,1.0
user_825,partner_b,1.0
user_826,partner_a,1.0
