user_id,timestamp,channel,converted
user_0,2024-01-20 00:00:00,partner_a,0
user_0,2024-01-20 00:10:00,partner_a,0
user_0,2024-01-20 00:20:00,partner_a,0
user_1,2024-01-08 00:00:00,partner_a,0
user_1,2024-01-08 00:10:00,partner_a,0
user_1,2024-01-08 00:20:00,partner_a,0
user_2,2024-01-26 00:00:00,partner_a,1
user_2,2024-01-26 00:10:00,partner_a,1
user_2,2024-01-26 00:20:00,partner_a,1
user_3,2024-01-11 00:00:00,partner_a,0
user_3,2024-01-11 00:10:00,partner_a,0
user_3,2024-01-11 00:20:00,partner_a,0
user_4,2024-01-08 00:00:00,partner_a,0
user_4,2024-01-08 00:10:00,partner_a,0
user_4,2024-01-08 00:20:00,partner_a,0
user_4,2024-01-08 00:30:00,partner_a,0
user_5,2024-01-21 00:00:00,partner_a,0
user_5,2024-01-21 00:10:00,partner_a,0
user_6,2024-01-30 00:00:00,partner_a,0
user_6,2024-01-30 00:10:00,partner_a,0
user_6,2024-01-30 00:20:00,partner_a,0
user_6,2024-01-30 00:30:00,partner_a,0
user_7,2024-01-28 00:00:00,partner_a,1
user_7,2024-01-28 00:10:00,partner_a,1
user_7,2024-01-28 00:20:00,partner_a,1
user_7,2024-01-28 00:30:00,partner_a,1
user_8,2024-01-26 00:00:00,partner_a,0
user_8,2024-01-26 00:10:00,partner_a,0
user_8,2024-01-26 00:20:00,partner_a,0
user_8,2024-01-26 00:30:00,partner_a,0
user_9,2024-01-25 00:00:00,partner_a,0
user_9,2024-01-25 00:10:00,partner_a,0
user_9,2024-01-25 00:20:00,partner_a,0
user_9,2024-01-25 00:30:00,partner_a,0
user_10,2024-01-10 00:00:00,partner_a,1
user_10,2024-01-10 00:10:00,partner_a,1
user_10,2024-01-10 00:20:00,partner_a,1
user_11,2024-01-16 00:00:00,partner_a,0
user_11,2024-01-16 00:10:00,partner_a,0
user_11,2024-01-16 00:20:00,partner_a,0
user_11,2024-01-16 00:30:00,partner_a,0
user_12,2024-01-15 00:00:00,partner_a,0
user_12,2024-01-15 00:10:00,partner_a,0
user_13,2024-01-23 00:00:00,partner_a,0
user_13,2024-01-23 00:10:00,partner_a,0
user_13,2024-01-23 00:20:00,partner_a,0
user_13,2024-01-23 00:30:00,partner_a,0
user_14,2024-01-03 00:00:00,partner_a,0
user_15,2024-01-21 00:00:00,partner_a,0
user_15,2024-01-21 00:10:00,partner_a,0
user_15,2024-01-21 00:20:00,partner_a,0
user_16,2024-01-04 00:00:00,partner_a,0
user_16,2024-01-04 00:10:00,partner_a,0
user_17,2024-01-18 00:00:00,partner_a,0
user_17,2024-01-18 00:10:00,partner_a,0
user_18,2024-01-21 00:00:00,partner_a,0
user_18,2024-01-21 00:10:00,partner_a,0
user_19,2024-01-15 00:00:00,partner_a,0
user_19,2024-01-15 00:10:00,partner_a,0
user_19,2024-01-15 00:20:00,partner_a,0
user_19,2024-01-15 00:30:00,partner_a,0
user_20,2024-01-29 00:00:00,partner_a,0
user_20,2024-01-29 00:10:00,partner_a,0
user_20,2024-01-29 00:20:00,partner_a,0
user_20,2024-01-29 00:30:00,partner_a,0
user_21,2024-01-14 00:00:00,partner_a,0
user_21,2024-01-14 00:10:00,partner_a,0
user_21,2024-01-14 00:20:00,partner_a,0
user_22,2024-01-08 00:00:00,partner_a,0
user_22,2024-01-08 00:10:00,partner_a,0
user_23,2024-01-06 00:00:00,partner_a,0
user_23,2024-01-06 00:10:00,partner_a,0
user_24,2024-01-22 00:00:00,partner_a,1
user_24,2024-01-22 00:10:00,partner_a,1
user_24,2024-01-22 00:20:00,partner_a,1
user_24,2024-01-22 00:30:00,partner_a,1
user_25,2024-01-26 00:00:00,partner_a,0
user_25,2024-01-26 00:10:00,partner_a,0
user_26,2024-01-30 00:00:00,partner_a,0
user_26,2024-01-30 00:10:00,partner_a,0
user_27,2024-01-16 00:00:00,partner_a,0
user_27,2024-01-16 00:10:00,partner_a,0
user_27,2024-01-16 00:20:00,partner_a,0
user_28,2024-01-23 00:00:00,partner_a,0
user_28,2024-01-23 00:10:00,partner_a,0
user_29,2024-01-08 00:00:00,partner_a,0
user_29,2024-01-08 00:10:00,partner_a,0
user_30,2024-01-18 00:00:00,partner_a,0
user_31,2024-01-26 00:00:00,partner_a,0
user_31,2024-01-26 00:10:00,partner_a,0
user_31,2024-01-26 00:20:00,partner_a,0
user_31,2024-01-26 00:30:00,partner_a,0
user_32,2024-01-28 00:00:00,partner_a,0
user_32,2024-01-28 00:10:00,partner_a,0
user_32,2024-01-28 00:20:00,partner_a,0
user_32,2024-01-28 00:30:00,partner_a,0
user_33,2024-01-15 00:00:00,partner_a,1
user_34,2024-01-07 00:00:00,partner_a,0
user_35,2024-01-12 00:00:00,partner_a,0
user_36,2024-01-11 00:00:00,partner_a,1
